time,m1_act,m2_act,m3_act,m4_act,m5_act,m6_act,m7_act,m8_act,m9_act,m10_act,m11_act,m12_act,m13_act,m1_temp,m2_temp,m3_temp,m4_temp,m5_temp,m6_temp,m7_temp,m8_temp,m9_temp,m10_temp,m11_temp,m12_temp,m13_temp,day,hour,is_night,is_estrus,f1_act,f2_act,f3_act,f4_act,f5_act,f6_act,f7_act,f8_act,f9_act,f10_act,f11_act,f12_act,f13_act,f1_temp,f2_temp,f3_temp,f4_temp,f5_temp,f6_temp,f7_temp,f8_temp,f9_temp,f10_temp,f11_temp,f12_temp,f13_temp
0,22.47457627118644,17.016949152542374,15.338983050847459,30.54237288135593,59.32203389830509,32.57627118644068,30.83050847457627,35.389830508474574,22.949152542372882,25.23728813559322,36.33898305084746,24.983050847457626,41.101694915254235,36.52559322033898,36.49033898305085,36.32694915254237,36.50237288135593,37.78372881355932,36.814237288135594,37.01288135593221,37.50864406779662,36.78237288135593,36.79983050847458,36.8669997659322,36.91830508474576,37.39322033898305,1,0,False,False,32.932203389830505,47.440677966101696,7.745762711864407,38.88135593220339,34.023200794915255,32.983050847457626,38.559322033898304,37.47457627118644,30.25423728813559,47.05084745762712,18.779661016949152,13.830508474576272,23.983050847457626,38.30525423728814,38.20559322033898,36.76593220338983,38.06186440677966,38.15118644067797,37.398305084745765,38.20508474576271,37.50474576271187,37.27694915254238,37.75932203389831,37.897118644067795,36.62423728813559,37.08186440677966
1,43.21666666666667,65.66666666666667,49.18333333333333,76.06666666666666,48.36666666666667,59.5,65.61666666666666,41.31666666666667,41.68333333333333,56.68333333333333,53.516666666666666,60.45,56.166666666666664,37.82283333333333,37.7455,37.555,37.86983333333333,37.6885,37.69683333333333,37.6365,38.080333333333336,37.105333333333334,38.04866666666667,37.74066666666667,37.74533333333333,37.991,1,1,False,False,32.11666666666667,49.88333333333333,12.0,47.31666666666667,47.916666666666664,57.833333333333336,44.25,64.25,71.01666666666667,63.766666666666666,49.28333333333333,36.81666666666667,32.1,38.527833333333334,38.23416666666667,37.05416666666667,38.36,38.93483333333334,38.338,38.89183333333334,38.46383333333333,37.95283333333334,37.9885,38.251666666666665,37.412666666666674,38.0585
2,50.083333333333336,58.18333333333333,36.483333333333334,75.96666666666667,52.25,61.58430587333333,54.483333333333334,43.4,39.3,54.21666666666667,31.183333333333334,64.41666666666667,55.266666666666666,37.90916666666667,37.89933333333333,37.452666666666666,37.958333333333336,37.81333333333334,37.73066666666667,37.8545,38.051500000000004,37.62733333333333,38.04966666666667,37.41283333333333,37.62516666666667,37.84133333333333,1,2,False,False,26.466666666666665,54.46666666666667,32.9,46.233333333333334,70.32896156333332,50.916666666666664,39.166666666666664,57.766666666666666,68.61666666666666,61.733333333333334,41.333333333333336,31.983333333333334,33.583333333333336,38.32416666666666,38.2685,37.70283333333334,38.480000000000004,39.095333333333336,38.34133333333333,38.715333333333334,38.527166666666666,37.92883333333334,38.0345,38.285666666666664,37.2875,38.09666666666667
3,47.916666666666664,57.1,37.483333333333334,80.75,69.86666666666666,69.75,76.53333333333333,45.21666666666667,37.5,33.983333333333334,38.38333333333333,65.91666666666667,50.81666666666667,37.8,37.656,37.368,37.776500000000006,37.905833333333334,37.70166666666667,37.7855,37.55333333333333,37.179833333333335,37.50633333333334,37.2047164365,37.55233333333333,37.89866666666667,1,3,False,False,30.283333333333335,62.666666666666664,30.916666666666668,42.46666666666667,67.99562823,47.15,40.95,55.63333333333333,56.88333333333333,44.65,35.05,34.766666666666666,20.333333333333332,38.27466666666667,38.40133333333333,37.90933333333333,38.37,39.01266666666667,38.1565,38.68216666666667,38.484,37.903,37.79366666666667,37.741499999999995,37.18633333333333,37.88983333333333
4,41.733333333333334,49.55,20.9,83.95,60.71666666666667,20.016666666666666,69.13333333333334,41.11666666666667,44.55,32.15,55.46666666666667,57.65,48.833333333333336,37.69683333333333,37.675333333333334,36.83566666666666,37.86300000000001,37.81183333333333,36.89149999999999,37.800666666666665,37.524833333333326,37.175666666666665,37.560500000000005,37.675432873,37.36,37.31766666666667,1,4,False,False,19.966666666666665,56.45,19.35,42.416666666666664,63.516666666666666,57.2,34.55,63.7,71.71729835333333,38.583333333333336,37.55,26.183333333333334,18.783333333333335,38.08233333333333,38.312,37.43966666666667,38.3655,38.93033333333334,38.297333333333334,38.588,38.57333333333334,37.8585,37.586999999999996,37.63966666666667,36.901666666666664,37.369166666666665
5,19.116666666666667,54.68333333333333,32.71666666666667,70.96666666666667,69.93333333333334,25.033333333333335,61.8,41.31666666666667,29.583333333333332,61.78333333333333,39.333333333333336,54.4,19.316666666666666,37.242666666666665,37.72416666666666,37.24983333333333,37.66583333333333,38.162,36.75866666666666,38.128,37.507666666666665,36.75333333333333,38.0895,37.559333333333335,37.343833333333336,36.472833333333334,1,5,False,False,7.416666666666667,52.31666666666667,12.883333333333333,41.1,50.306147448333334,54.78333333333333,42.6,58.53333333333333,24.616666666666667,15.133333333333333,3.683333333333333,34.3,33.28333333333333,37.01533333333334,38.24333333333333,36.63133333333334,38.25516666666667,38.67716666666667,38.271166666666666,38.589666666666666,38.460166666666666,37.26933333333333,36.980000000000004,38.1905,37.15533333333334,37.88699999999999
6,41.18333333333333,52.71666666666667,42.927087355000005,54.88333333333333,7.483333333333333,26.7,79.38333333333334,49.916666666666664,48.31666666666667,55.03333333333333,42.96666666666667,58.05,32.35,37.74366666666666,37.7545,37.428666666666665,37.4105,36.38166666666667,37.11716666666667,38.086,37.80133333333333,37.37583333333334,38.00633333333334,37.206,37.347,36.792833333333334,1,6,False,False,28.616666666666667,42.75,1.65,42.21666666666667,44.322814115,62.94341644666667,36.7,56.06666666666667,7.633333333333334,45.666666666666664,23.783333333333335,35.86666666666667,31.45,38.251,38.1395,36.26166666666666,38.3215,38.4985,38.32683333333333,38.3695,38.3795,36.91166666666666,37.458999999999996,38.133500000000005,37.07416666666666,37.589666666666666
7,48.63333333333333,53.21666666666667,37.5,9.233333333333333,15.15,57.3,76.76666666666667,51.61666666666667,52.63333333333333,49.166666666666664,53.03732844333333,22.6,34.583333333333336,37.81133333333333,37.791000000000004,37.26883333333333,36.214333333333336,35.7755,37.35116666666667,37.85333333333333,37.8615,37.466,37.972166666666666,37.5725,36.6505,36.823499999999996,1,7,False,False,27.883333333333333,24.766666666666666,2.3666666666666667,38.4,4.883333333333334,70.94341644666666,13.246799075666667,53.38333333333333,54.68333333333333,49.65,22.1,28.3,29.5,38.33433333333333,37.511833333333335,36.09883333333333,37.96216666666667,37.540166666666664,38.385,37.32449999999999,38.2895,37.6685,37.6235,37.54633333333334,37.22,37.075
8,31.633333333333333,53.266666666666666,17.75,29.233333333333334,12.55,52.0,64.85,19.283333333333335,50.1,41.2,62.301997555,16.066666666666666,5.083333333333333,37.249,37.389,36.2515,36.310833333333335,36.09433333333333,37.489333333333335,37.76683333333333,36.797333333333334,37.069833333333335,37.30433333333334,37.70766666666667,36.38133333333334,35.94833333333334,1,8,False,False,29.8,2.25,23.7,1.9333333333333333,32.21666666666667,59.03333333333333,21.133333333333333,56.61666666666667,1.4166666666666667,38.81666666666667,31.416666666666668,31.916666666666668,2.3833333333333333,38.23016666666667,36.699333333333335,37.3665,36.800666666666665,38.0675,38.265166666666666,37.80216666666667,38.078833333333336,36.800666666666665,37.75066666666667,37.917500000000004,37.3095,36.46966666666666
9,5.216666666666667,44.61666666666667,18.216666666666665,1.1166666666666667,3.2333333333333334,33.4,16.35,39.28333333333333,17.283333333333335,11.766666666666667,44.98533088833334,33.483333333333334,29.516666666666666,36.2205,37.22716666666667,36.720166666666664,36.18,36.28114058066667,37.15533333333334,36.9125,37.17383333333333,36.62733333333333,36.586,37.259,37.376666666666665,36.64983333333334,1,9,False,False,4.15,38.86666666666667,5.6,24.883333333333333,66.25,66.05349956,23.116666666666667,2.8333333333333335,32.9,28.5,19.783333333333335,34.763022066666665,29.5,36.902166666666666,37.6875,36.747,37.60916666666667,38.902833333333334,38.31633333333333,37.83316666666666,36.562000000000005,37.191,37.24933333333333,37.757,37.169666666666664,36.982166666666664
